system	title	rom
GB	Beetlejuice	Beetlejuice (U).gb
GB	Best of the Best - Championship Karate	Best of the Best - Championship Karate (U) [!].gb
GB	Bill & Ted's Excellent Gameboy Adventure	Bill & Ted's Excellent Gameboy Adventure (UE) [!].gb
GB	Bill Elliott's NASCAR Fast Tracks	Bill Elliott's NASCAR Fast Tracks (U).gb
GB	Bionic Battler	Bionic Battler (U).gb
GB	Bionic Commando	Bionic Commando (U) [!].gb
GB	Bishoujo Senshi Sailor Moon	Bishoujo Senshi Sailor Moon (J) [T+Eng0.95_SomeGoodShit].gb
GB	Black Bass - Lure Fishing	Black Bass - Lure Fishing (U) [M][!].gb
GB	Black Forest Tale	Black Forest Tale (Sachen 4-in-1 Vol. 6) (Unl) [!].gb
GB	Blades of Steel	Blades of Steel (U) [!].gb
GB	Blaster Master Boy	Blaster Master Boy (U).gb
GB	Block Kuzushi GB	Block Kuzushi GB (J) [S].gb
GB	Blodia	Blodia (J).gb
GB	Blues Brothers, The	Blues Brothers, The (U) [!].gb
GB	Blues Brothers, The - Jukebox Adventure	Blues Brothers, The - Jukebox Adventure (U).gb
GB	Boggle Plus	Boggle Plus (U) [!].gb
GB	Bomb Disposer	Bomb Disposer (Sachen 4-in-1 Vol. 6) (Unl) [!].gb
GB	Bomb Jack	Bomb Jack (U).gb
GB	Bomberman GB	Bomberman GB (U) [S][!].gb
GB	Bomberman GB 3	Bomberman GB 3 (J) [S].gb
GB	Bonk's Adventure	Bonk's Adventure (U) [!].gb
GB	Bonk's Revenge	Bonk's Revenge (U) [S][!].gb
GB	Booby Boys	Booby Boys (J).gb
GB	Boomer's Adventure in ASMIK World	Boomer's Adventure in ASMIK World (U) [!].gb
GB	Boomer's Adventure in ASMIK World 2	Boomer's Adventure in ASMIK World 2 (J).gb
GB	Boulder Dash	Boulder Dash (U) [!].gb
GB	Boxxle	Boxxle (U) (V1.1) [!].gb
GB	Boxxle 2	Boxxle 2 (U) [!].gb
GB	Boy and His Blob, A - The Rescue of Princess Blobette	Boy and His Blob, A - The Rescue of Princess Blobette (U) [!].gb
