system	title	rom
GBA	2-in-1 - Cartoon Network - Block Party & Cartoon Network - Speedway	2-in-1 - Cartoon Network - Block Party & Cartoon Network - Speedway (U).gba
GBA	2-in-1 - Castlevania Double Pack - Harmony of Dissonance & Aria of Sorrow	2-in-1 - Castlevania Double Pack - Harmony of Dissonance & Aria of Sorrow (U) [!].gba
GBA	2-in-1 - Crash & Spyro Super Pack - Spyro - Season of Ice & Crash Bandicoot - The Huge Adventure	2-in-1 - Crash & Spyro Super Pack - Spyro - Season of Ice & Crash Bandicoot - The Huge Adventure (U) [!].gba
GBA	2-in-1 - Crash Bandicoot Purple - Ripto's Rampage & Spyro Orange - The Cortex Conspiracy	2-in-1 - Crash Bandicoot Purple - Ripto's Rampage & Spyro Orange - The Cortex Conspiracy (U).gba
GBA	2-in-1 - Dora the Explorer - Double Pack	2-in-1 - Dora the Explorer - Double Pack (U).gba
GBA	2-in-1 - Dragon Ball Z Gamepack - Buu's Fury & GT - Transformation	2-in-1 - Dragon Ball Z Gamepack - Buu's Fury & GT - Transformation (U).gba
GBA	2-in-1 - Dragon Ball Z Gamepack - The Legacy of Goku I & II	2-in-1 - Dragon Ball Z Gamepack - The Legacy of Goku I & II (U).gba
GBA	2-in-1 - Finding Nemo - The Continuing Adventures & The Incredibles	2-in-1 - Finding Nemo - The Continuing Adventures & The Incredibles (U).gba
GBA	2-in-1 - Gauntlet & Rampart	2-in-1 - Gauntlet & Rampart (U) [!].gba
GBA	2-in-1 - Golden Nugget Casino & Texas Hold'em Poker	2-in-1 - Golden Nugget Casino & Texas Hold'em Poker (U) [!].gba
GBA	2-in-1 - Hot Wheels - Stunt Track Challenge & Hot Wheels - World Race	2-in-1 - Hot Wheels - Stunt Track Challenge & Hot Wheels - World Race (UE) [!].gba
GBA	2-in-1 - Hot Wheels - Velocity X & Hot Wheels - World Race	2-in-1 - Hot Wheels - Velocity X & Hot Wheels - World Race (U).gba
GBA	2-in-1 - Looney Tunes - Double Pack	2-in-1 - Looney Tunes - Double Pack (U).gba
GBA	2-in-1 - Madagascar & Shrek 2	2-in-1 - Madagascar & Shrek 2 (U).gba
GBA	2-in-1 - Madagascar - Operation Penguin & Shrek 2	2-in-1 - Madagascar - Operation Penguin & Shrek 2 (U).gba
GBA	2-in-1 - Marble Madness & Klax	2-in-1 - Marble Madness & Klax (U) [!].gba
GBA	2-in-1 - Monster Trucks & Quad Desert Fury	2-in-1 - Monster Trucks & Quad Desert Fury (U) [!].gba
GBA	2-in-1 - Monsters Inc. & Disney's Finding Nemo	2-in-1 - Monsters Inc. & Disney's Finding Nemo (U).gba
GBA	2-in-1 - Pac-Man Gamepack - Pac-Man World & Ms. Pac-Man - Maze Madness	2-in-1 - Pac-Man Gamepack - Pac-Man World & Ms. Pac-Man - Maze Madness (U).gba
GBA	2-in-1 - Paperboy & Rampage	2-in-1 - Paperboy & Rampage (U) [!].gba
GBA	2-in-1 - Power Rangers - Ninja Storm & Power Rangers - Time Force	2-in-1 - Power Rangers - Ninja Storm & Power Rangers - Time Force (U) (M3).gba
GBA	2-in-1 - Scooby Doo! - The Movie & Scooby-Doo! 2 - Monsters Unleashed	2-in-1 - Scooby Doo! - The Movie & Scooby-Doo! 2 - Monsters Unleashed (U).gba
GBA	2-in-1 - Scooby-Doo! - Mystery Mayhem & Scooby-Doo! and the Cyber Chase	2-in-1 - Scooby-Doo! - Mystery Mayhem & Scooby-Doo! and the Cyber Chase (U) (M3) [!].gba
GBA	2-in-1 - Shark Tale & Shrek 2	2-in-1 - Shark Tale & Shrek 2 (U) [!].gba
GBA	2-in-1 - Spider-Man & Spider-Man 2	2-in-1 - Spider-Man & Spider-Man 2 (U) (M4).gba
GBA	2-in-1 - Spider-Man - Mysterio's Menace & X2 - Wolverine's Revenge	2-in-1 - Spider-Man - Mysterio's Menace & X2 - Wolverine's Revenge (UE).gba
GBA	2-in-1 - SpongeBob SquarePants - Battle for Bikini Bottom & Nicktoons - Freeze Frame Frenzy	2-in-1 - SpongeBob SquarePants - Battle for Bikini Bottom & Nicktoons - Freeze Frame Frenzy (U).gba
GBA	2-in-1 - SpongeBob SquarePants - Battle for Bikini Bottom & The Fairly Odd Parents! - Breakin' da Rules	2-in-1 - SpongeBob SquarePants - Battle for Bikini Bottom & The Fairly Odd Parents! - Breakin' da Rules (U).gba
GBA	2-in-1 - SpongeBob SquarePants - SuperSponge & Revenge of the Flying Dutchman	2-in-1 - SpongeBob SquarePants - SuperSponge & Revenge of the Flying Dutchman (U).gba
GBA	2-in-1 - Spy Hunter & Super Sprint	2-in-1 - Spy Hunter & Super Sprint (U) [!].gba
GBA	2-in-1 - Tony Hawk's Underground & Kelly Slater's Pro Surfer	2-in-1 - Tony Hawk's Underground & Kelly Slater's Pro Surfer (UE) [!].gba
GBA	2-in-1 - Uno & Skin Bo	2-in-1 - Uno & Skin Bo (U).gba
GBA	3 Games in 1 - Breakout & Centipede & Warlords	3 Games in 1 - Breakout & Centipede & Warlords (E) (M5).gba
GBA	3-in-1 - Breakout & Centipede & Warlords	3-in-1 - Breakout & Centipede & Warlords (U) [!].gba
GBA	3-in-1 - Candy Land & Chutes and Ladders & Memory	3-in-1 - Candy Land & Chutes and Ladders & Memory (U).gba
GBA	3-in-1 - Hanna Barbera Rec Room Challenge - Darts & Shuffle & Skeeball	3-in-1 - Hanna Barbera Rec Room Challenge - Darts & Shuffle & Skeeball (U).gba
GBA	3-in-1 - Life & Yahtzee & Payday	3-in-1 - Life & Yahtzee & Payday (U).gba
GBA	3-in-1 - Majesco Sports Pack - Paintball Splat! & Dodgeball & Big Alley Bowling	3-in-1 - Majesco Sports Pack - Paintball Splat! & Dodgeball & Big Alley Bowling (U).gba
GBA	3-in-1 - Mousetrap & Simon & Operation	3-in-1 - Mousetrap & Simon & Operation (U).gba
GBA	3-in-1 - Pong & Asteroids & Yars' Revenge	3-in-1 - Pong & Asteroids & Yars' Revenge (U) [!].gba
GBA	3-in-1 - Rugrats - I Gotta Go Party & SpongeBob - SuperSponge & Tak and the Power of Juju	3-in-1 - Rugrats - I Gotta Go Party & SpongeBob - SuperSponge & Tak and the Power of Juju (E) (M3).gba
GBA	3-in-1 - Sorry & Aggravation & Scrabble Junior	3-in-1 - Sorry & Aggravation & Scrabble Junior (U) [!].gba
GBA	3-in-1 - Super Breakout & Lunar Lander & Millipede	3-in-1 - Super Breakout & Lunar Lander & Millipede (U) [!].gba
GBA	4-in-1 - GT Advance - Championship Racing & GT Advance 2 - Rally Racing & GT Advance 3 - Pro Concept Racing & Moto GP	4-in-1 - GT Advance - Championship Racing & GT Advance 2 - Rally Racing & GT Advance 3 - Pro Concept Racing & Moto GP (U) (M6).gba
GBA	Ace Combat Advance	Ace Combat Advance (UE) [!].gba
GBA	Ace Lightning	Ace Lightning (E).gba
GBA	Action Man - Robot Atack	Action Man - Robot Atack (E) (M5).gba
GBA	Activision Anthology	Activision Anthology (U) [!].gba
GBA	Advance Guardian Heroes	Advance Guardian Heroes (U) [!].gba
GBA	Advance Wars	Advance Wars (U) (V1.0) [!].gba
GBA	Advance Wars 2 - Black Hole Rising	Advance Wars 2 - Black Hole Rising (UA) [!].gba
GBA	Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron, The	Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron, The (UE) [!].gba
GBA	Adventures of Jimmy Neutron Boy Genius, The - Attack of the Twonkies	Adventures of Jimmy Neutron Boy Genius, The - Attack of the Twonkies (UE) [!].gba
GBA	Adventures of Jimmy Neutron Boy Genius, The - Jet Fusion	Adventures of Jimmy Neutron Boy Genius, The - Jet Fusion (UE) [!].gba
GBA	Adventures of Jimmy Neutron Boy Genius, The - Volume 1	Adventures of Jimmy Neutron Boy Genius, The - Volume 1 (U).gba
GBA	Aero the Acro-Bat - Rascal Rival Revenge	Aero the Acro-Bat - Rascal Rival Revenge (U).gba
GBA	Agassi Tennis Generation	Agassi Tennis Generation (U) [!].gba
GBA	Agent Hugo - Roborumble	Agent Hugo - Roborumble (E) (M11).gba
GBA	Aggressive Inline	Aggressive Inline (U) [!].gba
GBA	Airforce Delta Storm	Airforce Delta Storm (U) (M4) [!].gba
GBA	Alex Ferguson's Player Manager 2002	Alex Ferguson's Player Manager 2002 (E) (M6) [!].gba
GBA	Alex Rider - Stormbreaker	Alex Rider - Stormbreaker (U) [!].gba
GBA	Alien Homonid	Alien Homonid (E) (M5).gba
GBA	Alienators - Evolution Continues	Alienators - Evolution Continues (UE) [!].gba
GBA	All-Star Baseball 2003	All-Star Baseball 2003 (U).gba
GBA	All-Star Baseball 2004	All-Star Baseball 2004 (U).gba
GBA	Altered Beast - Guardian of the Realms	Altered Beast - Guardian of the Realms (U) [!].gba
GBA	Amazing Virtual Sea-Monkeys, The	Amazing Virtual Sea-Monkeys, The (U).gba
GBA	American Bass Challenge	American Bass Challenge (U) [!].gba
GBA	American Idol	American Idol (U).gba
GBA	American Tail, An - Fievel's Gold Rush	American Tail, An - Fievel's Gold Rush (U) (M2).gba
GBA	Animal Snap - Rescue Them 2 by 2	Animal Snap - Rescue Them 2 by 2 (U) [!].gba
GBA	Animaniacs - Lights, Camera, Action!	Animaniacs - Lights, Camera, Action! (E) (M5).gba
GBA	Ant Bully, The	Ant Bully, The (U) (M2) [!].gba
GBA	Antz - Extreme Racing	Antz - Extreme Racing (U) [!].gba
GBA	Archer Maclean's 3D Pool	Archer Maclean's 3D Pool (U).gba
GBA	Archer Maclean's Super Dropzone	Archer Maclean's Super Dropzone (U).gba
GBA	Arctic Tale	Arctic Tale (U).gba
GBA	Army Men - Operation Green	Army Men - Operation Green (UE) (M5) [!].gba
GBA	Army Men - Turf Wars	Army Men - Turf Wars (U) [!].gba
GBA	Army Men Advance	Army Men Advance (UE) (M5) [!].gba
GBA	Around the World in 80 Days	Around the World in 80 Days (U) [!].gba
GBA	Arthur and the Invisibles	Arthur and the Invisibles (U) (M3).gba
GBA	Asterix & Obelix - Bash! Them All!	Asterix & Obelix - Bash! Them All! (E) (M6).gba
GBA	Asterix & Obelix - XXL	Asterix & Obelix - XXL (E) (M6).gba
GBA	Astro Boy - Omega Factor	Astro Boy - Omega Factor (U) (M6).gba
GBA	Atari Anniversary Advance	Atari Anniversary Advance (U) [!].gba
GBA	Atlantis - The Lost Empire	Atlantis - The Lost Empire (U) [!].gba
GBA	Atomic Betty	Atomic Betty (U) [!].gba
GBA	ATV - Quad Power Racing	ATV - Quad Power Racing (U) [!].gba
GBA	ATV - Thunder Ridge Riders	ATV - Thunder Ridge Riders (U).gba
GBA	Avatar - The Last Airbender	Avatar - The Last Airbender (U).gba
GBA	Avatar - The Last Airbender - The Burning Earth	Avatar - The Last Airbender - The Burning Earth (U) [!].gba
GBA	Babar to The Rescue	Babar to The Rescue (U) (M3).gba
GBA	Back to Stone	Back to Stone (U) (M2) [!].gba
GBA	Backtrack	Backtrack (U) [!].gba
GBA	Backyard Baseball	Backyard Baseball (U) [!].gba
GBA	Backyard Baseball 2006	Backyard Baseball 2006 (U) [!].gba
GBA	Backyard Basketball	Backyard Basketball (U).gba
GBA	Backyard Football	Backyard Football (U) [!].gba
GBA	Backyard Football 2006	Backyard Football 2006 (U) [!].gba
GBA	Backyard Hockey	Backyard Hockey (U).gba
GBA	Backyard Skateboarding	Backyard Skateboarding (U).gba
GBA	Backyard Sports Baseball 2007	Backyard Sports Baseball 2007 (U).gba
GBA	Backyard Sports Basketball 2007	Backyard Sports Basketball 2007 (U).gba
GBA	Backyard Sports Football 2007	Backyard Sports Football 2007 (U).gba
GBA	Baldur's Gate - Dark Alliance	Baldur's Gate - Dark Alliance (U) [!].gba
GBA	Ballistic - Ecks vs. Sever	Ballistic - Ecks vs. Sever (U) [!].gba
GBA	Banjo-Kazooie - Grunty's Revenge	Banjo-Kazooie - Grunty's Revenge (U) [!].gba
GBA	Banjo-Pilot	Banjo-Pilot (U).gba
GBA	Barbie - The Princess and the Pauper	Barbie - The Princess and the Pauper (U).gba
GBA	Barbie and The Magic of Pegasus	Barbie and The Magic of Pegasus (U) [!].gba
GBA	Barbie as The Island Princess	Barbie as The Island Princess (U).gba
GBA	Barbie Diaries, The - High School Mystery	Barbie Diaries, The - High School Mystery (U).gba
GBA	Barbie Groovy Games	Barbie Groovy Games (U).gba
GBA	Barbie Horse Adventures	Barbie Horse Adventures (E) (M6).gba
GBA	Barbie Horse Adventures - Blue Ribbon Race	Barbie Horse Adventures - Blue Ribbon Race (U) [!].gba
GBA	Barbie in The 12 Dancing Princesses	Barbie in The 12 Dancing Princesses (U) [!].gba
GBA	Barbie Secret Agent - Royal Jewels Mission	Barbie Secret Agent - Royal Jewels Mission (U) [!].gba
GBA	Barbie Superpack - Secret Agent & Groovy Games	Barbie Superpack - Secret Agent & Groovy Games (U).gba
GBA	Barnyard	Barnyard (U).gba
GBA	Baseball Advance	Baseball Advance (U) [!].gba
GBA	Batman - Rise of Sin Tzu	Batman - Rise of Sin Tzu (U) (M3) [!].gba
GBA	Batman - Vengeance	Batman - Vengeance (U) (M3) [!].gba
GBA	Batman Begins	Batman Begins (UE) (M6) [!].gba
GBA	Battle B-Daman	Battle B-Daman (U) [!].gba
GBA	Battle B-Daman - Fire Spirits!	Battle B-Daman - Fire Spirits! (U).gba
GBA	Battle Network Rockman EXE 4.5 - Real Operation	Battle Network Rockman EXE 4.5 - Real Operation (J) [T+Eng1.2_Spikeman].gba
GBA	BattleBots - Beyond the Battlebox	BattleBots - Beyond the Battlebox (U).gba
GBA	BattleBots - Design & Destroy	BattleBots - Design & Destroy (U) [!].gba
GBA	Bee Game, The	Bee Game, The (U).gba
GBA	Berenstain Bears and the Spooky Old Tree, The	Berenstain Bears and the Spooky Old Tree, The (U).gba
GBA	Best Friends - Hunde & Katzen	Best Friends - Hunde & Katzen (E) (M2).gba
GBA	Beyblade G-Revolution	Beyblade G-Revolution (U).gba
GBA	Beyblade VForce - Ultimate Blader Jam	Beyblade VForce - Ultimate Blader Jam (U) [!].gba
GBA	Bible Game, The	Bible Game, The (U) [!].gba
GBA	Big Mutha Truckers	Big Mutha Truckers (U) [!].gba
GBA	Bionicle - Maze of Shadows	Bionicle - Maze of Shadows (U).gba
GBA	Bionicle Heroes	Bionicle Heroes (U) (M6).gba
GBA	Black Belt Challenge	Black Belt Challenge (E).gba
GBA	BlackThorne	BlackThorne (U) [!].gba
GBA	Blades of Thunder	Blades of Thunder (U).gba
GBA	Blender Bros.	Blender Bros. (U) [!].gba
GBA	BMX Trick Racer	BMX Trick Racer (U) [!].gba
GBA	Board Game Classics	Board Game Classics (U) [!].gba
GBA	Boktai - The Sun is in Your Hand	Boktai - The Sun is in Your Hand (U) [!].gba
GBA	Boktai 2 - Solar Boy Django	Boktai 2 - Solar Boy Django (U) [!].gba
GBA	Bomberman Max 2	Bomberman Max 2 - Blue Advance (U) [!].gba
GBA	Bomberman Tournament	Bomberman Tournament (U) [!].gba
GBA	Bookworm	Bookworm (U) [!].gba
GBA	Boulder Dash EX	Boulder Dash EX (U).gba
GBA	Boxing Fever	Boxing Fever (U) [!].gba
GBA	Bratz	Bratz (U) (M3).gba
GBA	Bratz - Babyz	Bratz - Babyz (U).gba
GBA	Bratz - Forever Diamondz	Bratz - Forever Diamondz (U) [!].gba
GBA	Bratz - Rock Angelz	Bratz - Rock Angelz (U) [!].gba
GBA	Bratz - The Movie	Bratz - The Movie (U).gba
GBA	Breath of Fire	Breath of Fire (U) [!].gba
GBA	Breath of Fire II	Breath of Fire II (U) [!].gba
GBA	Britney's Dance Beat	Britney's Dance Beat (U) [!].gba
GBA	Broken Sword - The Shadow of The Templars	Broken Sword - The Shadow of The Templars (U) (M5) [!].gba
GBA	Bruce Lee - Return of the Legend	Bruce Lee - Return of the Legend (U) [!].gba
GBA	Bubble Bobble - Old & New	Bubble Bobble - Old & New (U).gba
GBA	Butt-Ugly Martians - B.K.M. Battles	Butt-Ugly Martians - B.K.M. Battles (U) [!].gba
GBA	Cabbage Patch Kids - The Patch Puppy Rescue	Cabbage Patch Kids - The Patch Puppy Rescue (U).gba
GBA	Cabela's Big Game Hunter	Cabela's Big Game Hunter (U).gba
GBA	Cabela's Big Game Hunter - 2005 Adventures	Cabela's Big Game Hunter - 2005 Adventures (U) [!].gba
GBA	Caesar's Palace Advance	Caesar's Palace Advance (U) [!].gba
GBA	Camp Lazlo - Leaky Lake Games	Camp Lazlo - Leaky Lake Games (U) [!].gba
GBA	Capcom Classics - Mini Mix	Capcom Classics - Mini Mix (U) [!].gba
GBA	Car Battler Joe	Car Battler Joe (U) [!].gba
GBA	Care Bears - The Care Quests	Care Bears - The Care Quests (U) (M3).gba
GBA	Cars	Cars (U) [!].gba
GBA	Cars - Mater-National Championship	Cars - Mater-National Championship (U) (M2).gba
GBA	Cartoon Network - Block Party	Cartoon Network - Block Party (U) [!].gba
GBA	Cartoon Network - Speedway	Cartoon Network - Speedway (U) [!].gba
GBA	Cartoon Network Collection - Limited Edition	Cartoon Network Collection - Limited Edition (U).gba
GBA	Cartoon Network Collection - Platinum Edition	Cartoon Network Collection - Platinum Edition (U).gba
GBA	Cartoon Network Collection - Premium Edition	Cartoon Network Collection - Premium Edition (U) [!].gba
GBA	Cartoon Network Collection - Special Edition	Cartoon Network Collection - Special Edition (U) [!].gba
GBA	Cartoon Network Collection - Volume 1	Cartoon Network Collection - Volume 1 (U) [!].gba
GBA	Cartoon Network Collection - Volume 2	Cartoon Network Collection - Volume 2 (U) [!].gba
GBA	Casper	Casper (U) (M3).gba
GBA	Castlevania - Aria of Sorrow	Castlevania - Aria of Sorrow (U) [!].gba
GBA	Castlevania - Circle of the Moon	Castlevania - Circle of the Moon (U) [!].gba
GBA	Castlevania - Harmony of Dissonance	Castlevania - Harmony of Dissonance (U) [!].gba
GBA	Catwoman	Catwoman (UE) (M7).gba
GBA	Catz	Catz (U) [!].gba
GBA	Charlie and the Chocolate Factory	Charlie and the Chocolate Factory (U) (M4).gba
GBA	Charlotte's Web	Charlotte's Web (U) (M5) [!].gba
GBA	Cheetah Girls, The	Cheetah Girls, The (U).gba
GBA	Chessmaster	Chessmaster (U).gba
GBA	Chicken Little	Chicken Little (UE) (M6) [!].gba
GBA	Chicken Shoot	Chicken Shoot (U).gba
GBA	Chicken Shoot 2	Chicken Shoot 2 (U).gba
GBA	Chronicles of Narnia, The	Chronicles of Narnia, The (UE) (M8) [!].gba
GBA	Chu Chu Rocket	Chu Chu Rocket (U) (M5) [!].gba
GBA	CIMA - The Enemy	CIMA - The Enemy (U).gba
GBA	Classic NES Series - Bomberman	Classic NES Series - Bomberman (U).gba
GBA	Classic NES Series - Castlevania	Classic NES Series - Castlevania (U).gba
GBA	Classic NES Series - Donkey Kong	Classic NES Series - Donkey Kong (U).gba
GBA	Classic NES Series - Dr. Mario	Classic NES Series - Dr. Mario (U).gba
GBA	Classic NES Series - Excitebike	Classic NES Series - Excitebike (U).gba
GBA	Classic NES Series - Ice Climber	Classic NES Series - Ice Climber (U) [!].gba
GBA	Classic NES Series - Metroid	Classic NES Series - Metroid (U) [!].gba
GBA	Classic NES Series - Pac-Man	Classic NES Series - Pac-Man (U).gba
GBA	Classic NES Series - Super Mario Bros.	Classic NES Series - Super Mario Bros. (U).gba
GBA	Classic NES Series - The Legend of Zelda	Classic NES Series - The Legend of Zelda (U).gba
GBA	Classic NES Series - Xevious	Classic NES Series - Xevious (U).gba
GBA	Classic NES Series - Zelda II - The Adventure of Link	Classic NES Series - Zelda II - The Adventure of Link (U) [!].gba
GBA	Cocoto - Kart Racer	Cocoto - Kart Racer (E) (M5).gba
GBA	Cocoto - Platform Jumper	Cocoto - Platform Jumper (E) (M5).gba
GBA	Codename Kids Next Door - Operation S.O.D.A.	Codename Kids Next Door - Operation S.O.D.A. (U) [!].gba
GBA	Codename Kids Next Door - Volume 1	Codename Kids Next Door - Volume 1 (U).gba
GBA	Colin McRae Rally 2.0	Colin McRae Rally 2.0 (U) (M3).gba
GBA	Columns Crown	Columns Crown (U) [!].gba
GBA	Comix Zone	Comix Zone (E) (M5).gba
GBA	Connect Four, Perfection, Trouble	Connect Four, Perfection, Trouble (U) [!].gba
GBA	Contra Advance - The Alien Wars EX	Contra Advance - The Alien Wars EX (U) [!].gba
GBA	Corvette 50th Anniversary	Corvette 50th Anniversary (U) (M5).gba
GBA	Crash Bandicoot - The Huge Adventure	Crash Bandicoot - The Huge Adventure (U) [!].gba
GBA	Crash Bandicoot 2 - N-Tranced	Crash Bandicoot 2 - N-Tranced (U).gba
GBA	Crash Bandicoot Purple - Ripto's Rampage	Crash Bandicoot Purple - Ripto's Rampage (U) (V1.0).gba
GBA	Crash Nitro Kart	Crash Nitro Kart (U).gba
GBA	Crash of the Titans	Crash of the Titans (U) (M2) [!].gba
GBA	Crash Superpack - Crash Bandicoot 2 - N-Tranced & Crash Nitro Kart	Crash Superpack - Crash Bandicoot 2 - N-Tranced & Crash Nitro Kart (U).gba
GBA	Crazy Chase	Crazy Chase (Beta) (U).gba
GBA	Crazy Frog Racer	Crazy Frog Racer (E) (M4).gba
GBA	Crazy Taxi - Catch a Ride	Crazy Taxi - Catch a Ride (U) [!].gba
GBA	Creatures	Creatures (E) (M3) (Eng-Ger-Fre).gba
GBA	Crouching Tiger, Hidden Dragon	Crouching Tiger, Hidden Dragon (U) (M3) [!].gba
GBA	Cruis'n Velocity	Cruis'n Velocity (U) [!].gba
GBA	Crushed Baseball	Crushed Baseball (U) [!].gba
GBA	CT Special Forces	CT Special Forces (U) (M6).gba
GBA	CT Special Forces 2 - Back in The Trenches	CT Special Forces 2 - Back in The Trenches (U) (M6) [!].gba
GBA	CT Special Forces 3 - Bioterror	CT Special Forces 3 - Bioterror (E) (M6).gba
GBA	Cubix - Robots for Everyone - Clash 'n Bash	Cubix - Robots for Everyone - Clash 'n Bash (U).gba
GBA	Curious George	Curious George (U).gba
GBA	Danny Phantom - The Ultimate Enemy	Danny Phantom - The Ultimate Enemy (U) [!].gba
GBA	Danny Phantom - Urban Jungle	Danny Phantom - Urban Jungle (U) [!].gba
GBA	Daredevil	Daredevil (U) [!].gba
GBA	Dark Arena	Dark Arena (U) [!].gba
GBA	Dave Mirra Freestyle BMX 2	Dave Mirra Freestyle BMX 2 (U) [!].gba
GBA	Dave Mirra Freestyle BMX 3	Dave Mirra Freestyle BMX 3 (U) [!].gba
GBA	David Beckham Soccer	David Beckham Soccer (U) [!].gba
GBA	Davis Cup	Davis Cup (E) (M5) [!].gba
GBA	Dead to Rights	Dead to Rights (U).gba
GBA	Deal or No Deal	Deal or No Deal (U).gba
GBA	Defender	Defender (U) [!].gba
GBA	Defender of The Crown	Defender of The Crown (U).gba
GBA	DemiKids	DemiKids - Dark Version (U) [!].gba
GBA	Demon Driver - Time to Burn Rubber!	Demon Driver - Time to Burn Rubber! (U) [!].gba
GBA	Denki Blocks!	Denki Blocks! (E) (M5) [!].gba
GBA	Desert Strike Advance	Desert Strike Advance (U).gba
GBA	Dexter's Laboratory - Chess Challenge	Dexter's Laboratory - Chess Challenge (U) [!].gba
GBA	Dexter's Laboratory - Deesaster Strikes!	Dexter's Laboratory - Deesaster Strikes! (U) (M5) (V1.0) [!].gba
GBA	Digimon - Battle Spirit	Digimon - Battle Spirit (U).gba
GBA	Digimon - Battle Spirit 2	Digimon - Battle Spirit 2 (U) (M5) [!].gba
GBA	Digimon Racing	Digimon Racing (U) (M5).gba
GBA	Disney Channel Collection - Volume 1	Disney Channel Collection - Volume 1 (U).gba
GBA	Disney Princess	Disney Princess (UE) [!].gba
GBA	Disney Princess - Royal Adventure	Disney Princess - Royal Adventure (U).gba
GBA	Disney Sports - American Football	Disney Sports - American Football (U).gba
GBA	Disney Sports - Basketball	Disney Sports - Basketball (U).gba
GBA	Disney Sports - Motocross	Disney Sports - Motocross (E) (M5).gba
GBA	Disney Sports - Skateboarding	Disney Sports - Skateboarding (U).gba
GBA	Disney Sports - Snowboarding	Disney Sports - Snowboarding (U).gba
GBA	Disney Sports - Soccer	Disney Sports - Soccer (U).gba
GBA	Disney's Aladdin	Disney's Aladdin (U) (M4).gba
GBA	Disney's American Dragon Jake Long - Rise of the Huntsclan!	Disney's American Dragon Jake Long - Rise of the Huntsclan! (UE) (M5) [!].gba
GBA	Disney's Brother Bear	Disney's Brother Bear (U) [!].gba
GBA	Disney's Cinderella - Magical Dreams	Disney's Cinderella - Magical Dreams (U) (M5) [!].gba
GBA	Disney's Extreme Skate Adventure	Disney's Extreme Skate Adventure (U) [!].gba
GBA	Disney's Finding Nemo	Disney's Finding Nemo (U) [!].gba
GBA	Disney's Finding Nemo - The Continuing Adventures	Disney's Finding Nemo - The Continuing Adventures (U) [!].gba
GBA	Disney's Herbie - Fully Loaded	Disney's Herbie - Fully Loaded (U) [!].gba
GBA	Disney's Home on the Range	Disney's Home on the Range (U) (M2) [!].gba
GBA	Disney's Kim Possible - Revenge of Monkey Fist	Disney's Kim Possible - Revenge of Monkey Fist (U) [!].gba
GBA	Disney's Kim Possible 2 - Drakken's Demise	Disney's Kim Possible 2 - Drakken's Demise (U) (M2) [!].gba
GBA	Disney's Kim Possible 3 - Team Possible	Disney's Kim Possible 3 - Team Possible (U) (M2) [!].gba
GBA	Disney's Lilo & Stitch	Disney's Lilo & Stitch (E) (M6) (V1.0) [!].gba
GBA	Disney's Lilo & Stitch 2 - Haemsterviel Havoc	Disney's Lilo & Stitch 2 - Haemsterviel Havoc (U) [!].gba
GBA	Disney's Little Einstein	Disney's Little Einstein (U).gba
GBA	Disney's Magical Quest 2	Disney's Magical Quest 2 Starring Mickey & Minnie (U) (M3) [!].gba
GBA	Disney's Magical Quest 3 Starring Mickey & Donald	Disney's Magical Quest 3 Starring Mickey & Donald (U) (M3).gba
GBA	Disney's Magical Quest Starring Mickey & Minnie	Disney's Magical Quest Starring Mickey & Minnie (U).gba
GBA	Disney's Party	Disney's Party (UE) (M5).gba
GBA	Disney's Peter Pan - Return to Neverland	Disney's Peter Pan - Return to Neverland (U).gba
GBA	Disney's Tarzan - Return to the Jungle	Disney's Tarzan - Return to the Jungle (UE) [!].gba
GBA	Disney's The Jungle Book	Disney's The Jungle Book (U) (M6) [!].gba
GBA	Disney's The Lion King 1.5	Disney's The Lion King 1.5 (U) [!].gba
GBA	Disney's The Little Mermaid - Magic in Two Kingdoms	Disney's The Little Mermaid - Magic in Two Kingdoms (U) (M5) [!].gba
GBA	Disney's Treasure Planet	Disney's Treasure Planet (U) [!].gba
GBA	DK - King of Swing	DK - King of Swing (U) (Kiosk Demo).gba
GBA	Dogz	Dogz (U) [!].gba
GBA	Dogz - Fashion	Dogz - Fashion (U).gba
GBA	Dogz 2	Dogz 2 (U) [!].gba
GBA	Dokapon Monster Hunter	Dokapon Monster Hunter (U) [!].gba
GBA	Donald Duck Advance	Donald Duck Advance (U) [!].gba
GBA	Donkey Kong Country	Donkey Kong Country (U) [!].gba
GBA	Donkey Kong Country 2	Donkey Kong Country 2 (U).gba
GBA	Donkey Kong Country 3	Donkey Kong Country 3 (U) [!].gba
GBA	Doom	Doom (U) [!].gba
GBA	Doom II	Doom II (U) [!].gba
GBA	Dora the Explorer - Super Spies	Dora the Explorer - Super Spies (U) [!].gba
GBA	Dora the Explorer - Super Star Adventures!	Dora the Explorer - Super Star Adventures! (U).gba
GBA	Dora the Explorer - The Search for Pirate Pig's Treasure	Dora the Explorer - The Search for Pirate Pig's Treasure (U) [!].gba
GBA	Dora the Explorer - Volume 1	Dora the Explorer - Volume 1 (U).gba
GBA	Dora's World Adventure!	Dora's World Adventure! (U).gba
GBA	Double Dragon Advance	Double Dragon Advance (U) [!].gba
GBA	Dr. Mario & Puzzle League	Dr. Mario & Puzzle League (U).gba
